# BEAST v1.10.4 Prerelease #bc6cbd9
# Generated Sun Feb 09 16:31:59 GMT 2025 [seed=1739118718494]
# table.xml
state	joint	prior	likelihood	treeModel.rootHeight	treeLength	constant.popSize	clock.rate	meanRate	treeLikelihood	branchRates	coalescent
25000	-767.9852398405917	-40.49468889563673	-727.490550944955	0.5471223120588382	4.206570649200781	0.6613852186623871	1.0	1.0	-727.490550944955	0.0	-40.9081077229009
26000	-765.8441151348605	-36.89439098436172	-728.9497241504988	0.6233276523111311	3.8948475222023244	0.44846636549584096	1.0	1.0	-728.9497241504988	0.0	-37.6963125779974
27000	-776.8733424185752	-51.63768447894869	-725.2356579396265	0.9153883955560878	5.1905886984803695	0.7770579826071831	1.0	1.0	-725.2356579396265	0.0	-51.88992478667727
28000	-763.2662005431733	-34.94472733801691	-728.3214732051564	0.3626980474824951	3.4983603248954838	0.5491268605206729	1.0	1.0	-728.3214732051564	0.0	-35.54415312657369
29000	-784.4927185409408	-47.28914141221523	-737.2035771287256	0.656700021068739	4.852399504228086	0.7370274082436354	1.0	1.0	-737.2035771287256	0.0	-47.59427161078645
30000	-785.8181241322686	-51.56821949031072	-734.2499046419579	0.2833525380722159	4.060462621057268	0.8047303730392478	1.0	1.0	-734.2499046419579	0.0	-51.78546748832319
31000	-788.201096603699	-53.55086826588108	-734.650228337818	0.3056626022580935	4.113125043582927	0.9023544758232829	1.0	1.0	-734.650228337818	0.0	-53.653616113302775
32000	-786.9808656110066	-55.02315921772909	-731.9577063932775	0.28799317249327455	3.8556787973949915	0.6598393861045893	1.0	1.0	-731.9577063932775	0.0	-55.43891804571317
33000	-781.1935397142677	-47.343798436538286	-733.8497412777294	0.2851946858049368	3.7846377389543306	0.8202171415580574	1.0	1.0	-733.8497412777294	0.0	-47.54198460355908
34000	-798.0139788902505	-51.13331435633849	-746.8806645339121	0.34810957369820383	3.920324333883733	0.9934128972664747	1.0	1.0	-746.8806645339121	0.0	-51.13992324979763
35000	-772.0104669007468	-45.53354696137746	-726.4769199393693	0.24392662651345823	3.53737193697276	0.6832057135135761	1.0	1.0	-726.4769199393693	0.0	-45.914506235069
36000	-768.6562243031354	-34.22322491730461	-734.4329993858308	0.2783837127315524	2.947048918923711	0.5897158190595495	1.0	1.0	-734.4329993858308	0.0	-34.751339438054565
37000	-763.3774747626837	-38.403825969779525	-724.9736487929042	0.3555930645780194	3.6316042515995877	0.52855473107503	1.0	1.0	-724.9736487929042	0.0	-39.04143488956163
